CountyID,ADCODE99,CountyNames
3306,460005,文昌市
3307,460100,海口市
3308,460002,琼海市
3309,460100,海口市
3310,460100,海口市
3312,460027,澄迈县
3313,460028,临高县
3314,460027,澄迈县
3315,460005,文昌市
3316,460005,文昌市
3317,460005,文昌市
3318,460005,文昌市
3319,460003,儋州市
3320,460005,文昌市
3321,460005,文昌市
3322,460025,定安县
3323,460026,屯昌县
3324,460031,昌江黎族自治县
3325,460030,白沙黎族自治县
3326,460002,琼海市
3327,460005,文昌市
3328,460036,琼中黎族苗族自治县
3329,460031,昌江黎族自治县
3330,460007,东方市
3331,460002,琼海市
3332,460006,万宁市
3334,460033,乐东黎族自治县
3335,460001,通什市
3336,460035,保亭黎族苗族自治县
3337,460034,陵水黎族自治县
3338,460006,万宁市
3339,460201,三亚市市辖区
