Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type,Status
1003444,Lu'an,"Lu'an,Anhui,China",20174,CN,City,Active
1003445,Tongling,"Tongling,Anhui,China",20174,CN,City,Active
1003446,Wuhu,"Wuhu,Anhui,China",20174,CN,City,Active
1003447,Xuancheng,"Xuancheng,Anhui,China",20174,CN,City,Active
1003449,Fuzhou,"Fuzhou,Fujian,China",20175,CN,City,Active
1003450,Longyan,"Longyan,Fujian,China",20175,CN,City,Active
1003452,Nanping,"Nanping,Fujian,China",20175,CN,City,Active
1003453,Ningde,"Ningde,Fujian,China",20175,CN,City,Active
1003455,Putian,"Putian,Fujian,China",20175,CN,City,Active
1003456,Quanzhou,"Quanzhou,Fujian,China",20175,CN,City,Active
1003457,Sanming,"Sanming,Fujian,China",20175,CN,City,Active
1003459,Xiamen,"Xiamen,Fujian,China",20175,CN,City,Active
1003461,Zhangzhou,"Zhangzhou,Fujian,China",20175,CN,City,Active
1003464,Ganzhou,"Ganzhou,Jiangxi,China",20176,CN,City,Active
1003466,Jingdezhen,"Jingdezhen,Jiangxi,China",20176,CN,City,Active
1003467,Jiujiang,"Jiujiang,Jiangxi,China",20176,CN,City,Active
1003468,Fuzhou,"Fuzhou,Jiangxi,China",20176,CN,City,Active
1003469,Nanchang,"Nanchang,Jiangxi,China",20176,CN,City,Active
1003470,Shangrao,"Shangrao,Jiangxi,China",20176,CN,City,Active
1003471,Xinyu,"Xinyu,Jiangxi,China",20176,CN,City,Active
1003472,Yichun,"Yichun,Jiangxi,China",20176,CN,City,Active
1003473,Yingtan,"Yingtan,Jiangxi,China",20176,CN,City,Active
1003474,Changzhi,"Changzhi,Shanxi,China",20166,CN,City,Active
1003475,Dezhou,"Dezhou,Shandong,China",20177,CN,City,Active
1003476,Dongying,"Dongying,Shandong,China",20177,CN,City,Active
1003478,Heze,"Heze,Shandong,China",20177,CN,City,Active
1003480,Jiaozhou,"Jiaozhou,Shandong,China",20177,CN,City,Active
1003481,Jinan,"Jinan,Shandong,China",20177,CN,City,Active
1003482,Laiwu,"Laiwu,Shandong,China",20177,CN,City,Active
1003484,Liaocheng,"Liaocheng,Shandong,China",20177,CN,City,Active
1003485,Linyi,"Linyi,Shandong,China",20177,CN,City,Active
1003487,Qingdao,"Qingdao,Shandong,China",20177,CN,City,Active
1003488,Rizhao,"Rizhao,Shandong,China",20177,CN,City,Active
1003489,Weifang,"Weifang,Shandong,China",20177,CN,City,Active
1003490,Weihai,"Weihai,Shandong,China",20177,CN,City,Active
1003491,Yantai,"Yantai,Shandong,China",20177,CN,City,Active
1003493,Zaozhuang,"Zaozhuang,Shandong,China",20177,CN,City,Active
1003495,Zibo,"Zibo,Shandong,China",20177,CN,City,Active
1003496,Anyang,"Anyang,Henan,China",20178,CN,City,Active
1003497,Hebi,"Hebi,Henan,China",20178,CN,City,Active
1003499,Jiaozuo,"Jiaozuo,Henan,China",20178,CN,City,Active
1003501,Kaifeng,"Kaifeng,Henan,China",20178,CN,City,Active
1003502,Luohe,"Luohe,Henan,China",20178,CN,City,Active
1003503,Luoyang,"Luoyang,Henan,China",20178,CN,City,Active
1003504,Nanyang,"Nanyang,Henan,China",20178,CN,City,Active
1003505,Pingdingshan,"Pingdingshan,Henan,China",20178,CN,City,Active
1003506,Puyang,"Puyang,Henan,China",20178,CN,City,Active
1003507,Shangqiu,"Shangqiu,Henan,China",20178,CN,City,Active
1003508,Xinxiang,"Xinxiang,Henan,China",20178,CN,City,Active
1003509,Xinyang,"Xinyang,Henan,China",20178,CN,City,Active
1003510,Xuchang,"Xuchang,Henan,China",20178,CN,City,Active
1003511,Zhengzhou,"Zhengzhou,Henan,China",20178,CN,City,Active
1003512,Zhoukou,"Zhoukou,Henan,China",20178,CN,City,Active
1003513,Zhumadian,"Zhumadian,Henan,China",20178,CN,City,Active
1003515,Baoding,"Baoding,Hebei,China",20165,CN,City,Active
1003517,Enshi,"Enshi,Hubei,China",20179,CN,City,Active
1003520,Huanggang,"Huanggang,Hubei,China",20179,CN,City,Active
1003521,Huangshi,"Huangshi,Hubei,China",20179,CN,City,Active
1003522,Jingmen,"Jingmen,Hubei,China",20179,CN,City,Active
1003530,Shiyan,"Shiyan,Hubei,China",20179,CN,City,Active
1003533,Wuhan,"Wuhan,Hubei,China",20179,CN,City,Active
1003534,Xiangyang,"Xiangyang,Hubei,China",20179,CN,City,Active
1003535,Xianning,"Xianning,Hubei,China",20179,CN,City,Active
1003537,Xiaogan,"Xiaogan,Hubei,China",20179,CN,City,Active
1003538,Yichang,"Yichang,Hubei,China",20179,CN,City,Active
1003540,Changde,"Changde,Hunan,China",20180,CN,City,Active
1003541,Changsha,"Changsha,Hunan,China",20180,CN,City,Active
1003542,Chenzhou,"Chenzhou,Hunan,China",20180,CN,City,Active
1003544,Hengyang,"Hengyang,Hunan,China",20180,CN,City,Active
1003545,Huaihua,"Huaihua,Hunan,China",20180,CN,City,Active
1003550,Loudi,"Loudi,Hunan,China",20180,CN,City,Active
1003551,Shaoyang,"Shaoyang,Hunan,China",20180,CN,City,Active
1003552,Xiangtan,"Xiangtan,Hunan,China",20180,CN,City,Active
1003553,Yiyang,"Yiyang,Hunan,China",20180,CN,City,Active
1003554,Yueyang,"Yueyang,Hunan,China",20180,CN,City,Active
1003555,Zhuzhou,"Zhuzhou,Hunan,China",20180,CN,City,Active
1003556,Chaozhou,"Chaozhou,Guangdong,China",20181,CN,City,Active
1003557,Dongguan,"Dongguan,Guangdong,China",20181,CN,City,Active
1003558,Foshan,"Foshan,Guangdong,China",20181,CN,City,Active
1003559,Guangzhou,"Guangzhou,Guangdong,China",20181,CN,City,Active
1003560,Heyuan,"Heyuan,Guangdong,China",20181,CN,City,Active
1003562,Huizhou,"Huizhou,Guangdong,China",20181,CN,City,Active
1003563,Jiangmen,"Jiangmen,Guangdong,China",20181,CN,City,Active
1003564,Jieyang,"Jieyang,Guangdong,China",20181,CN,City,Active
1003565,Maoming,"Maoming,Guangdong,China",20181,CN,City,Active
1003567,Qingyuan,"Qingyuan,Guangdong,China",20181,CN,City,Active
1003568,Shantou,"Shantou,Guangdong,China",20181,CN,City,Active
1003569,Shanwei,"Shanwei,Guangdong,China",20181,CN,City,Active
1003570,Shaoguan,"Shaoguan,Guangdong,China",20181,CN,City,Active
1003571,Shenzhen,"Shenzhen,Guangdong,China",20181,CN,City,Active
1003574,Yangjiang,"Yangjiang,Guangdong,China",20181,CN,City,Active
1003575,Yunfu,"Yunfu,Guangdong,China",20181,CN,City,Active
1003576,Zhanjiang,"Zhanjiang,Guangdong,China",20181,CN,City,Active
1003577,Zhaoqing,"Zhaoqing,Guangdong,China",20181,CN,City,Active
1003578,Zhuhai,"Zhuhai,Guangdong,China",20181,CN,City,Active
1003580,Guilin,"Guilin,Guangxi,China",20182,CN,City,Active
1003581,Liuzhou,"Liuzhou,Guangxi,China",20182,CN,City,Active
1003582,Nanning,"Nanning,Guangxi,China",20182,CN,City,Active
1003583,Wuzhou,"Wuzhou,Guangxi,China",20182,CN,City,Active
1003585,Yulin,"Yulin,Guangxi,China",20182,CN,City,Active
1003587,Haikou,"Haikou,Hainan,China",20183,CN,City,Active
1003591,Chongqing,"Chongqing,Chongqing,China",20184,CN,City,Active
1003592,Chengdu,"Chengdu,Sichuan,China",20185,CN,City,Active
1003593,Deyang,"Deyang,Sichuan,China",20185,CN,City,Active
1003595,Leshan,"Leshan,Sichuan,China",20185,CN,City,Active
1003596,Luzhou,"Luzhou,Sichuan,China",20185,CN,City,Active
1003598,Mianyang,"Mianyang,Sichuan,China",20185,CN,City,Active
1003599,Nanchong,"Nanchong,Sichuan,China",20185,CN,City,Active
1003600,Neijiang,"Neijiang,Sichuan,China",20185,CN,City,Active
1003601,Panzhihua,"Panzhihua,Sichuan,China",20185,CN,City,Active
1003603,Zigong,"Zigong,Sichuan,China",20185,CN,City,Active
1003605,Guiyang,"Guiyang,Guizhou,China",20186,CN,City,Active
1003606,Liupanshui,"Liupanshui,Guizhou,China",20186,CN,City,Active
1003607,Zunyi,"Zunyi,Guizhou,China",20186,CN,City,Active
1003608,Chuxiong,"Chuxiong,Yunnan,China",20187,CN,City,Active
1003609,Dali,"Dali,Yunnan,China",20187,CN,City,Active
1003610,Kunming,"Kunming,Yunnan,China",20187,CN,City,Active
1003614,Qujing,"Qujing,Yunnan,China",20187,CN,City,Active
1003615,Yuxi,"Yuxi,Yunnan,China",20187,CN,City,Active
1003616,Lhasa,"Lhasa,Tibet,China",20188,CN,City,Active
1003618,Baoji,"Baoji,Shaanxi,China",20189,CN,City,Active
1003619,Datong,"Datong,Shanxi,China",20166,CN,City,Active
1003621,Weinan,"Weinan,Shaanxi,China",20189,CN,City,Active
1003622,Xi'an,"Xi'an,Shaanxi,China",20189,CN,City,Active
1003623,Xianyang,"Xianyang,Shaanxi,China",20189,CN,City,Active
1003624,Yan'an,"Yan'an,Shaanxi,China",20189,CN,City,Active
1003627,Jiayuguan,"Jiayuguan,Gansu,China",20190,CN,City,Active
1003628,Jiuquan,"Jiuquan,Gansu,China",20190,CN,City,Active
1003629,Lanzhou,"Lanzhou,Gansu,China",20190,CN,City,Active
1003630,Tianshui,"Tianshui,Gansu,China",20190,CN,City,Active
1003631,Wuwei,"Wuwei,Gansu,China",20190,CN,City,Active
1003633,Xining,"Xining,Qinghai,China",20191,CN,City,Active
1003634,Guyuan,"Guyuan,Ningxia,China",20192,CN,City,Active
1003636,Shizuishan,"Shizuishan,Ningxia,China",20192,CN,City,Active
1003637,Wuzhong,"Wuzhong,Ningxia,China",20192,CN,City,Active
1003638,Yinchuan,"Yinchuan,Ningxia,China",20192,CN,City,Active
1003639,Changji,"Changji,Xinjiang,China",20193,CN,City,Active
1003641,Urumqi,"Urumqi,Xinjiang,China",20193,CN,City,Active
1028777,Bazhong,"Bazhong,Sichuan,China",20185,CN,City,Active
1028778,Hechi,"Hechi,Guangxi,China",20182,CN,City,Active
1028779,Tongliao,"Tongliao,Inner Mongolia,China",20167,CN,City,Active
1028791,Cangzhou,"Cangzhou,Hebei,China",20165,CN,City,Active
1032143,Aksu,"Aksu,Xinjiang,China",20193,CN,City,Active
1032144,Alxa,"Alxa,Inner Mongolia,China",20167,CN,City,Active
1032145,Anshun,"Anshun,Guizhou,China",20186,CN,City,Active
1032146,Baishan,"Baishan,Jilin,China",20169,CN,City,Active
1032147,Baiyin,"Baiyin,Gansu,China",20190,CN,City,Active
1032148,Baoshan,"Baoshan,Yunnan,China",20187,CN,City,Active
1032149,Bayan Nur,"Bayan Nur,Inner Mongolia,China",20167,CN,City,Active
1032150,Bayingol,"Bayingol,Xinjiang,China",20193,CN,City,Active
1032151,Beihai,"Beihai,Guangxi,China",20182,CN,City,Active
1032152,Bijie,"Bijie,Guizhou,China",20186,CN,City,Active
1032153,Binzhou,"Binzhou,Shandong,China",20177,CN,City,Active
1032154,Bortala,"Bortala,Xinjiang,China",20193,CN,City,Active
1032155,Baise,"Baise,Guangxi,China",20182,CN,City,Active
1032156,Bozhou,"Bozhou,Anhui,China",20174,CN,City,Active
1032157,Chizhou,"Chizhou,Anhui,China",20174,CN,City,Active
1032158,Chongzuo,"Chongzuo,Guangxi,China",20182,CN,City,Active
1032159,Da Hinggan Ling,"Da Hinggan Ling,Heilongjiang,China",20170,CN,City,Active
1032160,Daqing,"Daqing,Heilongjiang,China",20170,CN,City,Active
1032161,Dazhou,"Dazhou,Sichuan,China",20185,CN,City,Active
1032162,Dingxi,"Dingxi,Gansu,China",20190,CN,City,Active
1032163,Ezhou,"Ezhou,Hubei,China",20179,CN,City,Active
1032164,Fangchenggang,"Fangchenggang,Guangxi,China",20182,CN,City,Active
1032165,Golog,"Golog,Qinghai,China",20191,CN,City,Active
1032166,Guang'an,"Guang'an,Sichuan,China",20185,CN,City,Active
1032167,Guangyuan,"Guangyuan,Sichuan,China",20185,CN,City,Active
1032168,Guigang,"Guigang,Guangxi,China",20182,CN,City,Active
1032169,Haibei,"Haibei,Qinghai,China",20191,CN,City,Active
1032170,Hegang,"Hegang,Heilongjiang,China",20170,CN,City,Active
1032171,Hezhou,"Hezhou,Guangxi,China",20182,CN,City,Active
1032172,Hinggan,"Hinggan,Inner Mongolia,China",20167,CN,City,Active
1032173,Hotan,"Hotan,Xinjiang,China",20193,CN,City,Active
1032174,Huangshan,"Huangshan,Anhui,China",20174,CN,City,Active
1032175,Huludao,"Huludao,Liaoning,China",20168,CN,City,Active
1032176,Hulun Buir,"Hulun Buir,Inner Mongolia,China",20167,CN,City,Active
1032177,Ili,"Ili,Xinjiang,China",20193,CN,City,Active
1032178,Ji'an,"Ji'an,Jiangxi,China",20176,CN,City,Active
1032179,Jinchang,"Jinchang,Gansu,China",20190,CN,City,Active
1032180,Jingzhou,"Jingzhou,Hubei,China",20179,CN,City,Active
1032181,Jining,"Jining,Shandong,China",20177,CN,City,Active
1032182,Jinzhong,"Jinzhong,Shanxi,China",20166,CN,City,Active
1032183,Kashgar,"Kashgar,Xinjiang,China",20193,CN,City,Active
1032184,Kumul,"Kumul,Xinjiang,China",20193,CN,City,Active
1032185,Laibin,"Laibin,Guangxi,China",20182,CN,City,Active
1032186,Liangshan,"Liangshan,Sichuan,China",20185,CN,City,Active
1032187,Lijiang,"Lijiang,Yunnan,China",20187,CN,City,Active
1032188,Lincang,"Lincang,Yunnan,China",20187,CN,City,Active
1032189,Linxia,"Linxia,Gansu,China",20190,CN,City,Active
1032190,Longnan,"Longnan,Gansu,China",20190,CN,City,Active
1032191,Lvliang,"Lvliang,Shanxi,China",20166,CN,City,Active
1032192,Ma'anshan,"Ma'anshan,Anhui,China",20174,CN,City,Active
1032193,Meishan,"Meishan,Sichuan,China",20185,CN,City,Active
1032194,Meizhou,"Meizhou,Guangdong,China",20181,CN,City,Active
1032195,Ordos,"Ordos,Inner Mongolia,China",20167,CN,City,Active
1032196,Panjin,"Panjin,Liaoning,China",20168,CN,City,Active
1032197,Pingliang,"Pingliang,Gansu,China",20190,CN,City,Active
1032198,Pingxiang,"Pingxiang,Jiangxi,China",20176,CN,City,Active
1032199,Pu'er,"Pu'er,Yunnan,China",20187,CN,City,Active
1032200,Qiandongnan,"Qiandongnan,Guizhou,China",20186,CN,City,Active
1032201,Qiannan,"Qiannan,Guizhou,China",20186,CN,City,Active
1032202,Qianxinan,"Qianxinan,Guizhou,China",20186,CN,City,Active
1032203,Qingyang,"Qingyang,Gansu,China",20190,CN,City,Active
1032204,Qinzhou,"Qinzhou,Guangxi,China",20182,CN,City,Active
1032205,Qitaihe,"Qitaihe,Heilongjiang,China",20170,CN,City,Active
1032206,Qoqek,"Qoqek,Xinjiang,China",20193,CN,City,Active
1032207,Quzhou,"Quzhou,Zhejiang,China",20173,CN,City,Active
1032208,Sanya,"Sanya,Hainan,China",20183,CN,City,Active
1032209,Shangluo,"Shangluo,Shaanxi,China",20189,CN,City,Active
1032210,Shuangyashan,"Shuangyashan,Heilongjiang,China",20170,CN,City,Active
1032211,Shuozhou,"Shuozhou,Shanxi,China",20166,CN,City,Active
1032212,Xishuangbanna,"Xishuangbanna,Yunnan,China",20187,CN,City,Active
1032213,Songyuan,"Songyuan,Jilin,China",20169,CN,City,Active
1032214,Suining,"Suining,Sichuan,China",20185,CN,City,Active
1032215,Suizhou,"Suizhou,Hubei,China",20179,CN,City,Active
1032216,Tai'an,"Tai'an,Shandong,China",20177,CN,City,Active
1032217,Taizhou,"Taizhou,Jiangsu,China",20172,CN,City,Active
1032218,Tangshan,"Tangshan,Hebei,China",20165,CN,City,Active
1032219,Tongren,"Tongren,Guizhou,China",20186,CN,City,Active
1032220,Turpan,"Turpan,Xinjiang,China",20193,CN,City,Active
1032221,Ulanqab,"Ulanqab,Inner Mongolia,China",20167,CN,City,Active
1032222,Wenshan,"Wenshan,Yunnan,China",20187,CN,City,Active
1032223,Wuhai,"Wuhai,Inner Mongolia,China",20167,CN,City,Active
1032224,Xiangxi,"Xiangxi,Hunan,China",20180,CN,City,Active
1032225,Xilin Gol,"Xilin Gol,Inner Mongolia,China",20167,CN,City,Active
1032226,Xingtai,"Xingtai,Hebei,China",20165,CN,City,Active
1032227,Xinzhou,"Xinzhou,Shanxi,China",20166,CN,City,Active
1032228,Ya'an,"Ya'an,Sichuan,China",20185,CN,City,Active
1032229,Yanbian,"Yanbian,Jilin,China",20169,CN,City,Active
1032230,Yangquan,"Yangquan,Shanxi,China",20166,CN,City,Active
1032231,Yibin,"Yibin,Sichuan,China",20185,CN,City,Active
1032232,Yichun,"Yichun,Heilongjiang,China",20170,CN,City,Active
1032233,Yongzhou,"Yongzhou,Hunan,China",20180,CN,City,Active
1032234,Yulin,"Yulin,Shaanxi,China",20189,CN,City,Active
1032235,Yuncheng,"Yuncheng,Shanxi,China",20166,CN,City,Active
1032236,Yushu,"Yushu,Qinghai,China",20191,CN,City,Active
1032237,Zhangjiajie,"Zhangjiajie,Hunan,China",20180,CN,City,Active
1032238,Zhangye,"Zhangye,Gansu,China",20190,CN,City,Active
1032239,Zhaotong,"Zhaotong,Yunnan,China",20187,CN,City,Active
1032240,Zhenjiang,"Zhenjiang,Jiangsu,China",20172,CN,City,Active
1032241,Zhongshan,"Zhongshan,Guangdong,China",20181,CN,City,Active
1032242,Zhongwei,"Zhongwei,Ningxia,China",20192,CN,City,Active
1032243,Ziyang,"Ziyang,Sichuan,China",20185,CN,City,Active
20163,Beijing,"Beijing,China",2156,CN,Region,Active
20164,Tianjin,"Tianjin,China",2156,CN,Region,Active
20165,Hebei,"Hebei,China",2156,CN,Region,Active
20166,Shanxi,"Shanxi,China",2156,CN,Region,Active
20167,Inner Mongolia,"Inner Mongolia,China",2156,CN,Region,Active
20168,Liaoning,"Liaoning,China",2156,CN,Region,Active
20169,Jilin,"Jilin,China",2156,CN,Region,Active
20170,Heilongjiang,"Heilongjiang,China",2156,CN,Region,Active
20171,Shanghai,"Shanghai,China",2156,CN,Region,Active
20172,Jiangsu,"Jiangsu,China",2156,CN,Region,Active
20173,Zhejiang,"Zhejiang,China",2156,CN,Region,Active
20174,Anhui,"Anhui,China",2156,CN,Region,Active
20175,Fujian,"Fujian,China",2156,CN,Region,Active
20176,Jiangxi,"Jiangxi,China",2156,CN,Region,Active
20177,Shandong,"Shandong,China",2156,CN,Region,Active
20178,Henan,"Henan,China",2156,CN,Region,Active
20179,Hubei,"Hubei,China",2156,CN,Region,Active
20180,Hunan,"Hunan,China",2156,CN,Region,Active
20181,Guangdong,"Guangdong,China",2156,CN,Region,Active
20182,Guangxi,"Guangxi,China",2156,CN,Region,Active
20183,Hainan,"Hainan,China",2156,CN,Region,Active
20184,Chongqing,"Chongqing,China",2156,CN,Region,Active
20185,Sichuan,"Sichuan,China",2156,CN,Region,Active
20186,Guizhou,"Guizhou,China",2156,CN,Region,Active
20187,Yunnan,"Yunnan,China",2156,CN,Region,Active
20188,Tibet,"Tibet,China",2156,CN,Region,Active
20189,Shaanxi,"Shaanxi,China",2156,CN,Region,Active
20190,Gansu,"Gansu,China",2156,CN,Region,Active
20191,Qinghai,"Qinghai,China",2156,CN,Region,Active
20192,Ningxia,"Ningxia,China",2156,CN,Region,Active
20193,Xinjiang,"Xinjiang,China",2156,CN,Region,Active
2156,China,China,,CN,Country,Active
